junction	type	2a9ed6f1-3f93-43cf-9e47-6690781e1009	d512d7d6-0f5f-484c-a4eb-20fcce53643a	f69372c0-9da5-469c-ba81-e5b3da5e605c	199a14f5-6ff1-4d6e-b043-06061511915f	b178a8cb-b28c-4fed-a8ae-d4e37ae39261	842f6668-669f-4e7d-89f6-f6da627297b8	ad36d45c-5bd4-4c14-87b7-eb57dc110ac7	a72b96c5-2ece-463e-a6cc-4598901a9bef	42a0ffc5-0804-4b82-9c18-50df23f21cf9	81148a24-a1bf-45ae-a0bb-709cccd728fd	8a72416e-242b-4482-921e-88fdae3c17ff	f53a9c63-1af7-4cbc-b8b7-4aa7aaed3364	dc2086bf-e50b-49fb-b31e-93b4fdc540fb	9a2c9224-ec66-4560-b909-08144c67e00d	7ad22869-92c5-43d5-b334-9781a311cb2e	454383cb-3cb3-4b8c-8078-a2ec27139d33	0141f9ca-a8a1-4ea4-b194-6c3afb943253	3551ea04-99f5-4748-8304-6a63e77ae756	fdbd24ed-a293-4f84-a418-8ab531750e9a	1f1c74d9-86f3-49ea-bb26-2c09efecc4a2	479dca62-5053-4919-9d21-695298aa76b4	37b29806-fbd6-432f-9a47-ce72bee3a5bb	9a756d11-4f93-4a52-9755-c338b21ccdca	d27541fa-68eb-4066-a6b8-6abd49575fe1	cc4c52a7-57d4-4959-abfb-8ed3b1ba4ded	e08283ca-68e0-4171-b8b9-51aee0b1e0ef	8ff6b0ab-c03c-4a06-a851-ebb4b0ffb769	1d6b448c-1d01-4a8c-8417-b094ec2d562e	e959e8bd-d13c-43c2-840b-8e19211eb643	0a858ad7-1c4a-41a0-9747-97c108cb074e	b8de7c7f-5de1-45b9-948d-cf5df3850551	6f54f9c0-5687-4a07-bf75-b506752b4a52	8c3b9672-d44c-4df4-9912-47f93f0a5c58	cef2bdb2-017f-4e90-94b3-45a91ac9fb6c	bc005778-f88d-47b7-8e04-ceb9750f00c2	3d648fd2-3148-478b-a74c-0016a04cdbe5	1ef1159e-ddaa-4673-8115-d8f356e51ff8	geneID	geneName
chr10:26768993-26770244	N_w	75	126	149	174	132	121	101	208	182	139	24	182	233	60	113	65	103	117	50	133	100	69	90	166	95	167	32	168	108	116	158	14	146	165	118	79	198	ENSG00000136754.16	ABI1
chr10:26770346-26771074	N_w	0	6	9	22	3	7	2	11	11	11	1	2	22	6	4	0	4	5	0	1	3	5	4	4	9	6	5	12	1	9	7	0	10	3	7	4	1	ENSG00000136754.16	ABI1
chr10:26770346-26777064	N_w	40	43	72	19	70	76	51	103	59	29	6	83	104	24	45	30	58	78	15	58	52	17	55	62	30	58	5	65	62	66	37	6	63	75	44	22	114	ENSG00000136754.16	ABI1
chr10:26771090-26777064	N_w	0	4	3	22	2	3	0	10	8	8	1	5	10	3	6	0	0	0	0	3	1	0	0	2	5	0	0	4	0	0	8	0	5	5	7	3	0	ENSG00000136754.16	ABI1
chr10:26777242-26787127	N_w	0	0	0	0	0	1	0	1	0	2	0	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	1	1	0	1	0	0	1	1	0	0	ENSG00000136754.16	ABI1
chr10:26777242-26823137	N_w	81	105	97	151	114	93	67	223	120	97	19	122	212	42	81	61	86	92	26	140	97	37	106	98	76	118	23	154	86	87	141	7	119	131	81	55	117	ENSG00000136754.16	ABI1
chr10:26823306-26835314	N_w	0	1	1	1	0	1	0	2	3	1	0	3	0	0	0	0	0	1	0	4	1	0	0	0	1	1	1	3	1	0	2	0	1	1	2	0	0	ENSG00000136754.16	ABI1
chr10:26823306-26860746	N_w	67	128	134	159	127	98	91	205	203	136	11	135	217	36	108	62	84	100	29	187	94	27	72	110	83	141	15	135	78	112	146	4	140	131	105	44	179	ENSG00000136754.16	ABI1
chr10:26835408-26860746	N_w	0	2	0	3	1	0	3	3	3	1	0	0	2	0	0	0	0	0	0	2	1	0	0	1	0	0	0	1	1	0	0	0	0	2	0	0	0	ENSG00000136754.16	ABI1
chr2:65227958-65239851	N_w	110	408	391	227	218	377	172	392	385	307	28	584	405	62	129	149	79	278	69	276	303	93	156	203	227	121	38	358	163	153	275	24	265	250	258	112	390	ENSG00000138071.13	ACTR2
chr2:65239963-65246504	N_w	0	2	0	0	0	1	0	1	1	0	0	0	1	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	1	0	3	0	0	1	4	0	0	ENSG00000138071.13	ACTR2
chr2:65239963-65246523	N_w	2	5	1	3	3	3	1	4	2	1	0	6	4	0	3	0	3	4	0	2	4	2	1	5	0	2	0	2	0	4	2	0	0	6	3	2	5	ENSG00000138071.13	ACTR2
chr2:65246740-65251026	N_w	131	408	307	247	225	259	182	481	350	354	25	497	385	60	164	164	125	274	95	299	237	79	197	206	158	140	40	284	168	181	350	17	230	390	366	52	399	ENSG00000138071.13	ACTR2
chr2:65251100-65253727	N_w	180	356	343	275	198	250	127	451	348	261	19	377	388	64	172	150	106	256	94	234	287	124	198	199	188	124	35	287	157	179	401	19	261	312	277	62	464	ENSG00000138071.13	ACTR2
chr2:65253865-65255544	N_w	129	321	215	218	179	218	106	357	229	178	11	325	317	49	134	123	96	264	77	227	229	64	174	144	127	98	37	279	165	150	321	7	145	271	284	49	364	ENSG00000138071.13	ACTR2
chr2:65255695-65261246	N_w	170	360	289	265	191	248	119	437	350	301	20	347	336	58	186	161	83	200	119	287	202	97	203	135	159	144	38	239	152	171	359	20	189	340	278	67	348	ENSG00000138071.13	ACTR2
chr2:65255695-65265042	N_w	1	2	1	0	1	1	2	0	0	0	0	3	0	0	1	1	1	1	0	0	2	0	0	0	0	0	0	0	1	2	1	0	0	1	4	0	0	ENSG00000138071.13	ACTR2
chr2:65261393-65265042	N_w	134	286	218	252	226	230	133	434	289	243	25	274	348	34	148	116	116	242	99	259	143	87	172	117	124	152	25	191	146	157	277	25	222	273	252	79	362	ENSG00000138071.13	ACTR2
chr2:65265176-65268563	N_w	183	401	330	395	227	362	145	529	600	528	38	451	404	97	236	207	165	278	137	345	312	131	253	213	215	208	40	335	242	282	418	42	343	424	327	107	565	ENSG00000138071.13	ACTR2
chr2:203328632-203351554	N_w	0	2	0	0	0	2	0	1	2	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	1	2	1	0	0	0	1	0	1	0	ENSG00000138443.15	ABI2
chr2:203328632-203366876	N_w	56	69	49	33	21	52	28	84	66	30	7	46	71	19	29	15	45	49	19	91	13	7	53	77	36	14	7	65	46	31	69	5	57	74	38	32	28	ENSG00000138443.15	ABI2
chr2:203328632-203366880	N_w	2	3	3	1	3	0	1	2	3	0	0	2	4	0	1	0	3	2	0	5	1	1	3	1	1	0	0	3	2	0	1	0	0	6	1	0	1	ENSG00000138443.15	ABI2
chr2:203328632-203380207	N_w	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	4	0	0	2	2	0	0	0	0	0	2	0	0	2	0	0	0	0	ENSG00000138443.15	ABI2
chr2:203351679-203366876	N_w	0	1	0	0	0	0	0	0	1	1	0	0	1	1	0	0	1	1	0	5	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	2	0	ENSG00000138443.15	ABI2
chr2:203355325-203366876	N_w	0	0	0	0	1	2	0	1	1	0	0	1	1	0	1	0	0	0	0	0	1	0	1	0	0	0	0	0	2	1	0	0	0	0	1	0	0	ENSG00000138443.15	ABI2
chr2:203367045-203376056	N_w	4	8	1	0	0	4	2	3	6	3	0	3	9	0	4	4	3	0	1	8	2	0	8	7	2	0	3	4	4	4	3	2	3	16	1	1	6	ENSG00000138443.15	ABI2
chr2:203367045-203380207	N_w	54	79	31	23	31	47	29	75	77	39	4	37	54	13	20	17	58	53	10	99	11	8	40	45	36	7	12	45	47	47	68	6	74	93	20	14	29	ENSG00000138443.15	ABI2
chr2:203367131-203380207	N_w	0	0	0	0	3	0	0	2	0	0	0	0	1	0	1	0	0	2	1	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	ENSG00000138443.15	ABI2
chr2:203376133-203380207	N_w	6	8	0	2	0	3	3	5	4	3	0	7	6	1	2	3	4	4	1	1	2	1	5	6	3	0	1	3	8	0	2	0	4	6	2	1	1	ENSG00000138443.15	ABI2
chr2:203380385-203383242	N_w	0	0	1	2	1	0	1	1	0	0	0	0	2	0	1	0	2	1	0	2	0	0	2	0	1	0	1	3	3	0	0	0	1	0	1	0	0	ENSG00000138443.15	ABI2
chr2:203380385-203383246	N_w	0	1	0	0	0	0	0	1	0	1	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1	2	0	0	0	ENSG00000138443.15	ABI2
chr2:203380385-203391045	N_w	17	35	17	11	21	31	8	38	32	13	3	29	36	6	12	7	44	35	15	44	8	9	45	27	27	10	3	24	34	24	37	6	31	48	29	14	17	ENSG00000138443.15	ABI2
chr2:203383322-203391045	N_w	0	0	1	2	0	1	0	5	3	1	1	1	0	1	1	0	0	2	0	0	0	0	2	2	1	0	1	0	1	0	0	0	0	0	0	0	0	ENSG00000138443.15	ABI2
chr2:203391144-203394699	N_w	33	69	37	24	30	56	26	71	46	34	5	40	65	17	19	25	55	76	31	80	19	8	96	40	28	12	16	51	78	48	50	9	47	75	55	21	41	ENSG00000138443.15	ABI2
chr2:203391144-203395655	N_w	3	3	2	0	1	3	0	3	3	1	0	2	1	1	0	0	3	0	1	2	1	0	3	5	2	0	0	3	0	2	1	1	3	2	3	1	1	ENSG00000138443.15	ABI2
chr2:203394847-203395655	N_w	41	60	30	24	19	46	14	72	65	28	3	38	59	17	25	16	46	47	19	66	16	10	65	57	32	17	8	52	64	34	62	3	67	67	29	21	27	ENSG00000138443.15	ABI2
chr2:203394847-203395658	N_w	3	6	5	3	3	4	1	8	5	7	0	9	6	1	2	0	6	2	1	6	1	1	9	6	5	0	3	6	5	6	4	2	5	10	0	0	2	ENSG00000138443.15	ABI2
chr2:203394847-203402575	N_w	0	2	2	1	3	2	1	4	3	2	0	3	2	0	0	0	5	2	1	0	0	3	0	0	2	0	1	3	0	0	1	0	0	4	0	0	0	ENSG00000138443.15	ABI2
chr2:203395781-203402575	N_w	36	55	38	31	18	35	8	77	62	37	1	37	60	14	16	18	47	34	15	55	17	10	52	56	22	11	9	50	54	29	49	9	48	48	29	20	29	ENSG00000138443.15	ABI2
chr2:203402735-203403316	N_w	1	1	0	0	0	0	1	0	1	0	2	1	0	0	0	0	0	1	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	ENSG00000138443.15	ABI2
chr2:203402735-203407883	N_w	1	0	0	3	0	0	0	0	1	0	0	0	1	1	0	0	1	0	1	0	0	0	0	1	0	0	0	4	1	0	0	0	1	2	0	2	0	ENSG00000138443.15	ABI2
chr2:203402735-203411284	N_w	28	45	20	29	18	40	18	38	41	34	4	39	58	6	25	11	65	42	21	50	12	16	30	40	21	15	3	27	70	36	27	15	45	42	43	16	30	ENSG00000138443.15	ABI2
chr2:203402735-203416907	N_w	8	37	19	9	12	13	11	35	26	18	1	20	27	5	16	12	26	15	17	41	13	5	28	22	15	3	6	22	31	28	32	4	35	34	18	5	15	ENSG00000138443.15	ABI2
chr2:203402735-203416913	N_w	2	0	0	0	0	0	0	0	0	2	0	0	1	0	1	0	2	1	0	0	0	0	2	3	1	0	0	0	0	3	1	0	1	0	1	0	0	ENSG00000138443.15	ABI2
chr2:203411372-203416907	N_w	22	29	22	17	19	41	15	44	50	34	6	32	37	14	26	26	52	26	26	52	8	10	41	68	31	17	9	23	62	33	36	14	47	39	34	23	20	ENSG00000138443.15	ABI2
chr2:203411372-203416913	N_w	0	1	1	0	0	2	0	4	0	2	0	2	3	0	2	1	2	0	0	5	2	1	3	5	2	1	1	2	3	3	8	1	1	1	4	1	0	ENSG00000138443.15	ABI2
chr2:203417082-203427176	N_w	67	113	58	53	58	76	28	125	94	68	26	48	113	37	38	35	153	61	43	163	26	26	98	95	53	42	34	56	108	89	93	29	89	99	64	42	42	ENSG00000138443.15	ABI2
chr2:203427270-203427495	N_w	2	4	0	1	1	3	1	3	3	4	0	1	3	1	0	0	3	2	1	9	1	0	4	3	3	2	0	2	7	0	5	1	2	3	0	2	0	ENSG00000138443.15	ABI2
chr1:27408347-27409691	N_w	222	106	92	56	64	109	66	110	131	57	5	89	105	34	36	40	45	103	16	90	55	21	68	74	86	43	13	164	39	55	147	4	161	62	45	45	95	ENSG00000158195.10	WASF2
chr1:27410207-27412571	N_w	2	1	0	1	0	2	0	0	0	1	0	0	0	0	0	0	1	3	0	0	1	0	0	0	3	1	0	2	0	0	2	0	1	0	2	0	0	ENSG00000158195.10	WASF2
chr1:27412728-27414832	N_w	194	108	103	81	72	104	77	165	172	61	6	122	124	29	39	39	50	126	11	151	59	21	69	71	90	37	18	135	35	52	185	4	157	62	53	19	100	ENSG00000158195.10	WASF2
chr1:27414964-27415984	N_w	107	61	39	52	59	76	83	166	97	39	2	93	107	21	40	38	58	106	16	112	32	9	72	36	32	28	4	83	17	41	135	2	87	74	48	12	84	ENSG00000158195.10	WASF2
chr1:27416103-27418268	N_w	328	164	122	105	169	142	167	339	240	66	15	275	238	42	77	74	67	168	28	220	105	32	161	81	150	91	24	228	56	106	337	5	286	154	101	67	152	ENSG00000158195.10	WASF2
chr1:27418423-27418953	N_w	130	44	46	52	64	60	65	103	92	36	3	105	90	14	29	34	19	81	9	103	23	7	56	41	43	22	10	74	19	25	124	2	101	49	35	22	50	ENSG00000158195.10	WASF2
chr1:27419089-27428760	N_w	0	3	1	2	0	0	0	0	4	0	0	1	1	0	0	0	0	0	0	1	1	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	1	ENSG00000158195.10	WASF2
chr1:27428934-27489985	N_w	36	31	34	17	19	48	31	34	25	9	2	40	25	4	7	10	13	45	0	34	23	6	13	18	35	2	4	80	9	7	35	0	32	5	4	10	18	ENSG00000158195.10	WASF2
chr1:32742190-32767786	N_w	32	17	20	19	54	14	42	48	57	10	2	38	44	8	28	29	16	57	4	42	27	3	16	5	23	11	5	60	21	31	33	2	44	16	20	25	34	ENSG00000162522.10	KIAA1522
chr1:32744539-32767786	N_w	0	0	0	0	1	1	2	0	0	0	0	3	0	0	1	0	0	0	1	0	0	0	0	1	0	0	0	1	0	0	0	0	1	0	0	3	0	ENSG00000162522.10	KIAA1522
chr1:32754181-32767786	N_w	28	23	54	25	49	31	36	40	25	10	4	22	24	9	11	18	10	81	10	49	21	10	20	25	41	11	7	125	6	31	35	6	18	13	1	33	32	ENSG00000162522.10	KIAA1522
chr1:32767958-32768061	N_w	106	96	94	66	136	61	85	165	185	40	11	122	144	34	57	59	23	233	28	152	98	26	64	51	81	43	22	319	41	113	163	11	114	61	33	64	152	ENSG00000162522.10	KIAA1522
chr1:32767958-32768651	N_w	0	0	1	1	2	3	1	0	0	0	0	0	2	1	0	3	0	1	0	1	0	0	3	0	1	0	0	1	1	0	2	0	5	0	0	0	0	ENSG00000162522.10	KIAA1522
chr1:32768118-32768594	N_w	2	3	6	1	0	0	2	0	1	0	0	1	1	0	0	1	0	2	0	4	1	0	0	1	1	0	0	4	0	0	0	2	1	1	0	0	0	ENSG00000162522.10	KIAA1522
chr1:32768118-32768651	N_w	117	109	156	96	204	121	128	184	197	48	11	155	182	33	58	87	43	249	30	214	96	31	106	61	93	55	32	445	71	124	157	22	142	71	29	85	226	ENSG00000162522.10	KIAA1522
chr1:32768776-32769672	N_w	109	80	81	73	113	80	80	126	111	21	6	104	133	21	45	74	31	227	25	127	70	27	76	36	66	44	9	290	38	88	112	8	56	52	28	48	112	ENSG00000162522.10	KIAA1522
chr1:32769787-32769879	N_w	102	73	95	60	133	80	74	113	126	30	9	94	155	23	62	53	27	161	21	190	60	22	67	43	100	58	16	273	43	114	116	8	85	44	23	52	130	ENSG00000162522.10	KIAA1522
chr1:32770111-32770220	N_w	3	3	5	4	7	3	3	1	6	0	0	9	7	1	5	4	0	9	3	5	0	15	0	7	2	4	1	14	3	12	5	0	10	6	0	6	20	ENSG00000162522.10	KIAA1522
chr1:32772442-32772864	N_w	196	126	150	140	234	132	149	206	273	91	35	170	226	73	70	154	125	340	80	226	178	79	133	75	123	165	80	423	145	175	185	57	210	118	71	146	216	ENSG00000162522.10	KIAA1522
chr1:183623451-183630460	N_w	0	0	0	0	0	1	3	0	0	0	0	0	0	0	0	0	0	1	0	0	3	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	ENSG00000162704.15	ARPC5
chr1:183627595-183630460	N_w	241	341	391	376	278	441	268	572	522	463	138	421	525	279	418	272	310	326	227	411	298	298	243	422	279	401	125	284	400	549	382	261	546	535	428	199	959	ENSG00000162704.15	ARPC5
chr1:183630638-183633081	N_w	225	356	414	301	246	503	291	494	426	379	121	482	514	205	358	235	267	303	169	400	311	272	189	413	276	356	95	390	347	461	304	212	439	473	313	167	828	ENSG00000162704.15	ARPC5
chr2:218217255-218217462	N_w	64	158	743	90	133	368	143	252	211	222	125	158	230	350	217	148	109	126	83	158	539	349	168	728	526	68	189	289	114	353	137	158	200	107	163	178	127	ENSG00000163466.15	ARPC2
chr2:218217255-218225919	N_w	1	1	1	1	1	5	2	5	6	0	0	5	5	7	6	1	2	1	3	3	0	4	10	10	4	0	5	1	2	5	1	3	5	2	2	2	5	ENSG00000163466.15	ARPC2
chr2:218217545-218225919	N_w	123	275	580	171	157	392	145	334	245	339	118	232	290	240	212	142	147	177	104	184	420	302	263	566	456	145	168	321	141	390	224	166	279	145	220	165	160	ENSG00000163466.15	ARPC2
chr2:218225955-218226995	N_w	0	1	1	0	0	0	0	1	1	0	0	0	0	1	0	1	0	0	0	0	2	0	1	2	0	1	0	0	0	0	0	1	1	0	0	0	0	ENSG00000163466.15	ARPC2
chr2:218225955-218228737	N_w	272	699	615	514	317	572	375	784	678	796	135	448	687	366	436	342	432	419	226	418	603	330	567	641	507	327	204	445	385	740	571	173	703	456	612	183	411	ENSG00000163466.15	ARPC2
chr2:218228797-218239390	N_w	0	0	0	1	0	0	0	2	2	0	0	0	1	0	1	0	1	0	0	0	0	0	2	0	1	0	0	0	0	0	0	0	0	0	0	1	0	ENSG00000163466.15	ARPC2
chr2:218228851-218234351	N_w	247	646	472	471	289	614	340	739	434	543	122	536	593	430	362	380	437	404	253	390	524	283	585	541	405	288	166	466	330	792	498	192	459	425	565	191	325	ENSG00000163466.15	ARPC2
chr2:218228851-218238663	N_w	0	4	1	2	0	3	1	3	0	1	0	0	1	3	0	1	1	0	0	1	1	0	1	2	2	1	1	1	1	4	4	0	1	1	1	0	1	ENSG00000163466.15	ARPC2
chr2:218234398-218234848	N_w	0	0	0	2	0	2	0	1	1	0	0	1	0	0	1	0	2	0	0	0	0	0	0	1	0	0	0	0	0	0	2	0	0	1	0	0	0	ENSG00000163466.15	ARPC2
chr2:218234398-218238663	N_w	264	544	529	538	328	535	264	717	733	809	161	376	728	305	362	262	349	356	209	375	417	383	449	628	450	304	207	301	382	799	520	202	803	450	488	150	394	ENSG00000163466.15	ARPC2
chr2:218235045-218238663	N_w	0	1	0	0	1	0	0	1	4	2	0	1	0	0	2	0	2	0	0	0	1	1	0	3	0	0	0	0	0	0	1	0	0	1	0	0	0	ENSG00000163466.15	ARPC2
chr2:218236734-218238663	N_w	0	0	5	0	0	2	0	0	2	0	1	0	0	0	1	1	0	0	0	0	0	0	0	2	3	3	0	0	0	2	2	0	3	0	1	0	0	ENSG00000163466.15	ARPC2
chr2:218238851-218239390	N_w	298	769	770	645	379	624	390	981	771	1009	246	483	782	426	522	362	531	439	278	462	581	373	634	864	626	526	364	494	402	1008	707	255	878	573	721	296	433	ENSG00000163466.15	ARPC2
chr2:218238851-218245419	N_w	0	0	2	0	0	2	0	0	0	2	0	2	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	2	0	0	0	0	1	0	0	0	0	ENSG00000163466.15	ARPC2
chr2:218239485-218245419	N_w	392	942	908	653	400	778	432	1109	966	1387	373	877	996	589	701	606	657	549	530	596	826	688	944	1035	841	740	481	728	556	1392	770	442	1024	736	993	416	561	ENSG00000163466.15	ARPC2
chr2:218239485-218249363	N_w	0	3	4	2	0	4	2	4	0	1	1	0	2	5	0	2	2	0	1	0	0	0	2	2	7	2	2	0	1	1	0	1	2	2	3	0	1	ENSG00000163466.15	ARPC2
chr2:218245547-218249363	N_w	462	932	965	707	470	937	455	1028	933	1340	387	853	1097	636	795	671	701	605	644	690	888	795	1066	1067	828	886	459	969	683	1509	712	529	1140	636	899	419	633	ENSG00000163466.15	ARPC2
chr2:218249465-218249820	N_w	550	1031	947	786	454	308	542	1197	1000	1477	466	1016	1241	841	842	747	871	593	736	660	981	964	1263	1189	923	975	450	894	742	1758	863	542	1242	778	1036	205	717	ENSG00000163466.15	ARPC2
chr2:218249922-218252944	N_w	0	0	1	0	0	0	1	1	0	2	0	0	0	0	0	0	0	0	0	0	2	0	0	1	0	0	0	0	0	1	1	1	1	0	0	0	0	ENSG00000163466.15	ARPC2
chr2:218249922-218253890	N_w	403	767	739	788	429	810	419	961	941	1364	341	489	829	713	717	464	663	427	520	632	772	751	700	860	704	664	359	563	692	1465	656	683	1190	622	789	353	636	ENSG00000163466.15	ARPC2
chr2:218253033-218253890	N_w	0	0	3	1	0	0	0	1	0	2	0	1	0	0	1	0	0	0	0	0	0	0	1	1	1	0	0	1	0	2	0	0	0	1	0	0	1	ENSG00000163466.15	ARPC2
chrX:17376323-17687741	N_w	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	ENSG00000188158.14	NHS
chrX:17687895-17692334	N_w	1	1	2	0	10	1	1	4	3	2	0	5	3	0	0	0	0	2	0	0	0	0	0	0	2	0	0	4	0	0	4	0	3	0	0	0	3	ENSG00000188158.14	NHS
chrX:17692469-17719343	N_w	0	0	0	0	2	2	1	6	1	2	0	5	5	0	0	0	0	3	0	3	2	0	2	0	1	0	0	2	2	0	2	0	1	0	2	0	0	ENSG00000188158.14	NHS
chrX:17719407-17721440	N_w	2	0	0	0	6	0	0	6	4	0	0	5	3	1	2	0	0	0	1	6	1	0	0	1	0	0	0	3	0	0	3	0	3	1	1	0	1	ENSG00000188158.14	NHS
chrX:17721634-17724298	N_w	4	0	0	0	16	1	2	5	2	0	0	4	4	0	0	2	0	1	0	0	0	0	0	0	1	0	0	3	0	1	4	0	3	4	4	0	0	ENSG00000188158.14	NHS
chrX:17724431-17725346	N_w	4	1	0	2	16	2	3	13	2	2	0	5	3	0	0	3	0	3	0	0	0	0	1	4	0	0	0	6	0	1	4	0	1	6	5	0	3	ENSG00000188158.14	NHS
chrX:17728329-17728648	N_w	2	2	2	2	13	0	7	8	8	4	0	9	6	1	3	1	0	8	1	1	4	0	4	3	8	0	0	9	1	0	5	0	0	4	6	0	3	ENSG00000188158.14	NHS
chrX:17728776-17731857	N_w	3	3	2	4	17	5	1	10	6	13	0	12	6	0	1	3	0	3	3	2	1	0	4	2	5	1	1	5	3	3	8	0	5	4	12	0	3	ENSG00000188158.14	NHS
chrX:72080267-72132078	N_w	0	0	2	0	0	0	0	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	4	0	0	2	0	0	0	0	0	0	ENSG00000204131.9	NHSL2
chrX:72132235-72134090	N_w	1	2	0	0	2	0	0	0	1	2	0	0	5	0	0	0	0	2	0	2	0	0	0	0	0	0	0	5	0	0	7	0	0	0	0	0	1	ENSG00000204131.9	NHSL2
chrX:72134219-72134508	N_w	2	3	1	1	0	0	1	1	4	3	0	0	6	0	0	0	0	2	0	0	2	2	2	0	3	0	0	5	1	3	7	0	0	0	3	0	1	ENSG00000204131.9	NHSL2
chrX:72134705-72137093	N_w	1	2	0	0	1	2	1	1	1	1	0	0	6	0	1	0	1	0	0	0	0	1	3	1	2	0	0	5	0	0	5	0	1	2	1	1	1	ENSG00000204131.9	NHSL2
chrX:72134705-72138440	N_w	3	0	0	0	0	2	0	1	0	0	0	0	2	0	0	0	0	2	0	0	0	0	0	1	0	0	0	2	0	0	2	0	0	0	0	0	1	ENSG00000204131.9	NHSL2
chrX:72137226-72138440	N_w	2	5	1	2	0	0	0	1	1	4	0	1	3	0	1	0	0	2	0	0	0	1	1	2	4	0	0	5	0	0	4	0	0	2	2	0	2	ENSG00000204131.9	NHSL2
chrX:72140772-72142231	N_w	13	12	1	7	3	4	1	11	9	12	0	10	26	3	1	2	1	8	1	6	2	0	8	0	6	2	2	14	3	7	25	0	1	10	6	5	14	ENSG00000204131.9	NHSL2
chrX:72142365-72143252	N_w	3	6	2	0	3	0	0	4	10	6	0	0	9	4	0	3	1	3	0	2	0	0	1	2	8	0	1	12	0	3	14	0	2	2	1	1	7	ENSG00000204131.9	NHSL2
chrX:72144539-72146363	N_w	2	1	0	1	0	0	0	0	1	1	0	0	1	0	0	0	0	1	0	1	0	0	0	0	1	0	1	1	0	0	2	0	0	0	1	0	3	ENSG00000204131.9	NHSL2
chr3:9792561-9797658	N_w	1	0	2	3	2	1	0	1	1	3	1	1	0	0	0	1	2	1	0	3	3	0	4	1	2	1	1	5	1	1	3	2	3	5	1	3	0	ENSG00000241553.12	ARPC4
chr3:9792706-9797658	N_w	3	3	7	3	5	4	6	4	16	11	1	8	4	2	3	4	8	7	3	4	7	10	19	8	13	4	5	8	5	3	9	8	3	5	3	5	8	ENSG00000241553.12	ARPC4
chr3:9793125-9797658	N_w	309	539	477	576	282	466	368	536	625	498	128	806	505	517	463	509	539	425	409	455	709	471	668	373	414	330	196	473	441	689	386	439	461	423	382	172	442	ENSG00000241553.12	ARPC4
chr3:9793125-9800184	N_w	3	1	1	2	0	1	0	0	0	1	0	1	0	1	0	0	0	2	0	1	3	1	2	0	2	2	0	3	0	0	0	0	1	2	0	0	0	ENSG00000241553.12	ARPC4
chr3:9793182-9797658	N_w	1	1	2	0	0	0	3	1	3	1	0	2	1	1	1	1	2	0	0	2	0	0	0	1	0	0	0	0	2	3	0	0	1	0	0	2	3	ENSG00000241553.12	ARPC4
chr3:9797778-9799878	N_w	4	7	12	6	2	7	2	7	6	8	3	4	7	1	4	4	6	3	2	4	2	2	5	6	10	4	1	7	2	5	12	8	1	2	8	2	4	ENSG00000241553.12	ARPC4
chr3:9797778-9800184	N_w	193	442	505	635	289	330	298	556	551	386	196	541	447	259	276	305	436	334	346	423	401	356	406	393	341	249	289	442	321	540	392	338	427	375	457	397	313	ENSG00000241553.12	ARPC4
chr3:9797778-9801660	N_w	1	5	4	4	0	1	0	0	0	0	2	2	0	0	1	2	1	1	1	1	1	0	0	0	0	0	1	1	0	5	1	0	1	1	2	0	0	ENSG00000241553.12	ARPC4
chr3:9800068-9800184	N_w	4	8	9	9	1	9	9	4	7	11	7	12	5	1	4	3	5	9	3	6	2	3	6	9	7	4	2	5	2	11	12	4	6	3	7	4	6	ENSG00000241553.12	ARPC4
chr3:9800297-9801660	N_w	338	677	775	1083	429	421	452	831	844	665	300	783	682	447	538	492	731	453	528	691	624	506	693	577	546	505	415	533	444	871	564	478	676	601	638	548	437	ENSG00000241553.12	ARPC4
chr3:9800297-9803842	N_w	3	10	9	12	5	7	6	14	8	6	3	8	7	7	3	8	9	8	5	10	4	8	6	7	7	4	5	4	5	19	5	2	14	8	8	3	3	ENSG00000241553.12	ARPC4
chr3:9801757-9803535	N_w	0	2	0	0	0	0	0	1	1	1	2	1	0	1	1	1	0	0	1	0	0	0	0	3	0	0	0	0	0	0	3	3	0	0	2	1	1	ENSG00000241553.12	ARPC4
chr3:9801757-9803842	N_w	272	393	516	701	308	254	321	548	610	488	208	535	426	188	355	305	434	285	355	386	320	311	425	437	412	334	317	368	266	652	382	265	463	396	458	396	277	ENSG00000241553.12	ARPC4
